RASHUT,ID,SES,PERIPH,JEWISH,YEAR,DIST_FROM_TLV,JEWS_PERCENT,Teachers-skills,immigrant,Special-Education,Matriculation-eligibility,Excellent-matriculation-eligibility,Math,Class-size,Teacher-student-ratio,ALLOCATION_LOG
אבו גוש,1,2,6,0,2014,41.6,0.0,19.0,0.0,14.0,51.0,2.0,0.0,25.0,8.0,7.425357887027151
אבו גוש,1,3,6,0,2015,41.6,0.0,22.0,0.0,13.0,47.0,1.0,0.0,25.0,8.0,7.7306140660637395
אבו גוש,1,3,6,0,2016,41.0,0.0,21.0,0.0,13.0,55.0,7.0,6.0,25.0,8.0,8.282483003730562
אבו גוש,1,3,6,0,2017,41.0,0.0,22.0,0.0,12.0,48.0,1.0,4.0,25.0,7.0,8.231376045573969
אבו גוש,1,3,6,0,2018,41.0,0.0,34.0,0.0,17.0,59.0,0.0,4.0,24.0,7.0,8.254008590564844
אבו גוש,1,3,6,0,2019,41.0,0.0,37.0,0.0,17.0,69.0,3.0,5.0,23.0,7.0,8.443977129084978
אבו גוש,1,3,6,0,2020,41.0,0.0,37.0,0.0,17.0,75.0,5.0,8.0,23.0,7.0,8.145549631783584
אבו סנאן,2,3,4,0,2014,107.9,0.0,19.0,0.0,7.0,44.0,4.0,8.0,26.0,10.0,6.161207321695077
אבו סנאן,2,3,4,0,2015,107.9,0.0,21.0,0.0,8.0,46.0,10.0,9.0,25.0,10.0,6.704414354964107
אבו סנאן,2,3,4,0,2016,106.5,0.0,25.0,0.0,8.0,49.0,7.0,7.0,25.0,10.0,6.873163834212518
אבו סנאן,2,3,4,0,2017,106.5,0.0,26.0,0.0,8.0,67.0,14.0,12.0,25.0,9.0,6.78105762593618
אבו סנאן,2,3,4,0,2018,106.5,0.0,29.0,0.0,8.0,63.0,7.0,12.0,26.0,9.0,7.355001921105257
אבו סנאן,2,3,4,0,2019,106.5,0.0,32.0,0.0,7.0,69.0,11.0,9.0,26.0,9.0,7.273092595999522
אבו סנאן,2,3,4,0,2020,106.5,0.0,35.0,0.0,7.0,67.0,17.0,16.0,25.0,9.0,6.776506992372183
אבן יהודה,3,8,7,1,2014,14.4,98.3,32.0,6.0,1.0,88.0,10.0,14.0,33.0,14.0,7.61972421378267
אבן יהודה,3,8,7,1,2015,15.1,98.3,34.0,6.0,4.0,78.0,10.0,11.0,33.0,13.0,7.7284157798410416
אבן יהודה,3,8,7,1,2016,14.4,98.3,36.0,7.0,4.0,89.0,12.0,18.0,31.0,13.0,7.689828668736484
אבן יהודה,3,8,7,1,2017,14.4,98.3,39.0,8.0,4.0,85.0,18.0,21.0,30.0,13.0,7.71333788887187
אבן יהודה,3,8,7,1,2018,14.4,98.5,40.0,9.0,2.0,87.0,16.0,25.0,29.0,13.0,7.788211557847076
אבן יהודה,3,9,7,1,2019,14.4,98.4,46.0,10.0,3.0,89.0,15.0,27.0,28.0,14.0,7.8528278122817445
אבן יהודה,3,9,7,1,2020,14.4,98.4,45.0,15.0,3.0,88.0,15.0,24.0,28.0,14.0,7.741533589281828
אום אל-פחם,4,2,6,0,2014,58.6,0.0,21.0,0.0,6.0,63.0,7.0,7.0,28.0,12.0,6.584791392385716
אום אל-פחם,4,2,6,0,2015,58.6,0.0,23.0,0.0,7.0,60.0,9.0,8.0,28.0,12.0,6.8501261661455
אום אל-פחם,4,2,5,0,2016,57.8,0.0,26.0,0.0,6.0,58.0,8.0,7.0,27.0,12.0,6.732210706467206
אום אל-פחם,4,2,5,0,2017,57.8,0.0,29.0,0.0,7.0,66.0,9.0,9.0,27.0,11.0,6.927557906278317
אום אל-פחם,4,2,5,0,2018,57.8,0.0,31.0,0.0,7.0,62.0,9.0,8.0,27.0,11.0,6.654152520183219
אום אל-פחם,4,2,5,0,2019,57.8,0.0,34.0,0.0,6.0,64.0,11.0,10.0,27.0,11.0,6.698268054115413
אום אל-פחם,4,2,5,0,2020,57.8,0.0,36.0,0.0,6.0,68.0,14.0,12.0,27.0,11.0,6.508769136971682
אופקים,5,3,4,1,2014,85.8,92.8,26.0,2.0,8.0,47.0,0.0,3.0,24.0,12.0,7.418180822726788
אופקים,5,3,4,1,2015,85.8,92.9,27.0,1.0,8.0,47.0,0.0,3.0,23.0,13.0,7.477604243197589
